Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit
309.0,105.0,4.0,3.5,2.0,8.18,0.0,0.65
318.0,109.0,1.0,3.5,3.5,9.12,0.0,0.78
320.0,111.0,4.0,4.5,3.5,8.87,1.0,0.85
310.0,104.0,3.0,2.0,3.5,8.37,0.0,0.7
312.0,104.0,3.0,3.5,3.5,8.42,0.0,0.74
327.0,109.0,3.0,3.5,4.0,8.77,1.0,0.79
315.0,104.0,3.0,4.0,2.5,8.1,0.0,0.65
329.0,111.0,4.0,4.5,4.0,9.01,1.0,0.81
308.0,110.0,4.0,3.5,3.0,8.6,0.0,0.7
334.0,114.0,4.0,4.0,4.0,9.43,1.0,0.93
308.0,101.0,2.0,3.0,4.0,7.9,0.0,0.68
325.0,111.0,3.0,3.0,3.5,8.7,0.0,0.52
319.0,106.0,3.0,3.5,2.5,8.33,1.0,0.74
305.0,107.0,2.0,2.5,2.5,8.42,0.0,0.71
319.0,105.0,3.0,3.0,3.5,8.67,1.0,0.73
329.0,111.0,4.0,4.5,4.5,9.18,1.0,0.87
317.0,106.0,3.0,3.5,3.0,7.89,1.0,0.73
324.0,113.0,4.0,4.5,4.0,8.79,0.0,0.76
327.0,108.0,5.0,5.0,3.5,9.13,1.0,0.87
314.0,107.0,3.0,3.0,3.5,8.17,1.0,0.73
302.0,102.0,3.0,3.5,5.0,8.33,0.0,0.65
312.0,101.0,2.0,2.5,3.5,8.04,1.0,0.68
331.0,117.0,4.0,4.5,5.0,9.42,1.0,0.94
318.0,110.0,1.0,2.5,3.5,8.54,1.0,0.67
298.0,105.0,3.0,3.5,4.0,8.54,0.0,0.69
307.0,105.0,4.0,3.0,3.0,7.94,0.0,0.62
304.0,101.0,2.0,2.0,2.5,7.66,0.0,0.38
324.0,111.0,5.0,4.5,4.0,9.16,1.0,0.9
313.0,102.0,3.0,2.5,2.5,8.68,0.0,0.71
317.0,110.0,3.0,4.0,4.5,9.11,1.0,0.8
333.0,117.0,4.0,5.0,4.0,9.66,1.0,0.95
308.0,108.0,4.0,4.5,5.0,8.34,0.0,0.77
328.0,116.0,5.0,4.5,5.0,9.08,1.0,0.91
301.0,98.0,1.0,2.0,3.0,8.03,1.0,0.67
318.0,109.0,3.0,3.5,4.0,9.22,1.0,0.68
